"","Age","Height","Weight"
"706",22,67.7165354330709,132.2772
"708",21,63.7795275590551,112.43562
"710",17,65.748031496063,154.3234
"711",20,64.1732283464567,114.64024
"712",22,66.9291338582677,121.2541
"714",19,66.1417322834646,132.2772
"715",25,64.5669291338583,138.89106
"718",17,68.1102362204724,119.04948
"719",17,67.3228346456693,125.66334
"721",18,66.9291338582677,165.3465
"722",20,68.503937007874,132.2772
"723",21,63.3858267716535,105.82176
"724",18,68.8976377952756,127.86796
"725",19,70.8661417322835,154.3234
"729",18,70.8661417322835,165.3465
"731",16,62.992125984252,108.02638
"732",18,64.1732283464567,125.66334
"733",19,66.9291338582677,138.89106
"734",24,65.3543307086614,121.2541
"735",19,66.1417322834646,123.45872
"736",NA,64.9606299212598,147.70954
"737",20,65.3543307086614,132.2772
"738",21,70.8661417322835,134.48182
"742",18,68.1102362204724,143.3003
"747",21,69.6850393700787,160.93726
"748",18,66.9291338582677,165.3465
"749",15,62.992125984252,112.43562
"751",22,68.8976377952756,189.59732
"752",21,66.1417322834646,108.02638
"753",21,63.7795275590551,112.43562
"754",19,67.3228346456693,108.02638
"756",26,67.7165354330709,176.3696
"758",19,62.5984251968504,114.64024
"761",25,65.748031496063,108.02638
"765",19,67.7165354330709,110.231
"767",25,65.748031496063,132.2772
"770",19,65.748031496063,138.89106
"771",16,66.9291338582677,119.04948
"773",20,66.9291338582677,116.84486
"774",17,66.1417322834646,154.3234
"775",20,67.3228346456693,136.68644
"776",19,64.9606299212598,112.43562
"779",18,64.9606299212598,121.2541
"780",17,65.748031496063,105.82176
"782",20,67.3228346456693,138.89106
"783",17,66.9291338582677,121.2541
"789",18,62.2047244094488,110.231
"792",19,63.7795275590551,114.64024
"796",30,68.1102362204724,152.11878
"799",18,62.992125984252,121.2541
"802",30,68.1102362204724,158.73264
"803",19,67.7165354330709,132.2772
"804",27,68.1102362204724,174.16498
"805",21,68.1102362204724,136.68644
"806",17,64.9606299212598,116.84486
"813",17,68.8976377952756,132.2772
"815",20,64.9606299212598,116.84486
"820",17,62.992125984252,105.82176
"821",18,63.7795275590551,121.2541
"823",19,68.8976377952756,132.2772
"825",29,66.9291338582677,127.86796
"826",21,66.9291338582677,121.2541
"827",20,62.2047244094488,121.2541
"828",20,66.1417322834646,121.2541
"830",20,63.7795275590551,110.231
"831",21,66.1417322834646,154.3234
"832",17,66.9291338582677,110.231
"833",20,64.9606299212598,125.66334
"839",21,66.9291338582677,127.86796
"840",23,64.1732283464567,149.91416
"841",24,66.5354330708661,116.84486
"844",20,69.6850393700787,154.3234
"846",20,64.9606299212598,123.45872
"847",23,67.3228346456693,119.04948
"848",19,66.9291338582677,112.43562
"850",22,68.503937007874,134.48182
"851",17,68.8976377952756,149.91416
"854",30,68.8976377952756,149.91416
"857",17,61.4173228346457,112.43562
"862",18,67.7165354330709,121.2541
"866",17,71.6535433070866,174.16498
"868",25,67.7165354330709,123.45872
"870",18,66.9291338582677,119.04948
"871",25,66.1417322834646,138.89106
"875",18,63.7795275590551,119.04948
"881",18,63.7795275590551,119.04948
"882",18,66.9291338582677,119.04948
"883",16,66.1417322834646,119.04948
"884",19,66.1417322834646,125.66334
"885",19,68.8976377952756,127.86796
"889",20,68.8976377952756,127.86796
"894",17,64.9606299212598,127.86796
"895",19,62.2047244094488,99.2079
"899",28,67.7165354330709,119.04948
"902",22,68.1102362204724,110.231
"905",24,62.992125984252,121.2541
"907",21,64.5669291338583,114.64024
"908",22,65.748031496063,110.231
"910",28,65.3543307086614,127.86796
"911",18,64.9606299212598,105.82176
"912",23,68.503937007874,152.11878
"913",22,63.7795275590551,121.2541
"914",21,64.5669291338583,114.64024
"915",20,67.3228346456693,125.66334
"916",18,66.9291338582677,143.3003
"919",21,62.5984251968504,114.64024
"920",21,64.9606299212598,110.231
"921",20,64.9606299212598,119.04948
"923",20,68.8976377952756,147.70954
"924",23,64.1732283464567,130.07258
"925",19,61.0236220472441,110.231
"926",20,66.9291338582677,138.89106
"928",19,64.1732283464567,123.45872
"929",19,60.2362204724409,97.00328
"930",27,68.1102362204724,127.86796
"931",18,64.9606299212598,99.2079
"933",20,61.0236220472441,99.2079
"934",17,66.9291338582677,110.231
"936",16,64.5669291338583,132.2772
"937",21,67.3228346456693,145.50492
"938",18,65.748031496063,136.68644
"939",19,65.3543307086614,138.89106
"942",18,67.7165354330709,121.2541
"944",22,71.6535433070866,182.98346
"945",19,63.7795275590551,103.61714
"948",16,70.8661417322835,121.2541
"949",18,66.9291338582677,165.3465
"950",18,64.5669291338583,123.45872
"954",20,64.9606299212598,125.66334
"955",20,68.8976377952756,136.68644
"956",19,65.3543307086614,112.43562
"959",22,66.5354330708661,130.07258
"960",24,69.2913385826772,105.82176
"963",21,65.748031496063,123.45872
"966",17,66.9291338582677,143.3003
"967",19,66.9291338582677,121.2541
"973",19,70.0787401574803,194.00656
"974",20,68.8976377952756,264.5544
"975",21,72.0472440944882,160.93726
"976",23,68.8976377952756,187.3927
"977",19,67.7165354330709,136.68644
"979",21,64.9606299212598,132.2772
"981",18,65.3543307086614,116.84486
"982",19,66.1417322834646,125.66334
"984",22,67.7165354330709,132.2772
"985",21,64.9606299212598,121.2541
"986",20,65.748031496063,116.84486
"987",19,63.3858267716535,132.2772
"990",30,66.1417322834646,119.04948
"994",21,68.1102362204724,121.2541
"995",20,69.2913385826772,171.96036
"996",18,64.1732283464567,116.84486
"998",19,65.748031496063,116.84486
"1001",16,60.2362204724409,136.68644
"1002",18,62.992125984252,138.89106
"1004",20,67.7165354330709,138.89106
"1006",20,64.5669291338583,125.66334
"1008",18,68.1102362204724,165.3465
"1009",25,68.1102362204724,127.86796
